job_id,arrival_time_ns,job_type,required_compute,input_size_mb,deadline_ms,source_node
job_001,0,image_inference,850.0,48.0,750.0,12
job_002,2019191919,object_detection,1450.0,100.0,1200.0,12
job_003,4038383838,llm_inference,3300.0,32.0,2000.0,12
job_004,6057575758,image_inference,1000.0,60.0,750.0,12
job_005,8076767677,object_detection,1600.0,96.0,1200.0,12
job_006,10095959596,llm_inference,3200.0,28.0,2000.0,12
job_007,12115151515,image_inference,900.0,56.0,750.0,12
job_008,14134343434,object_detection,1500.0,108.0,1200.0,12
job_009,16153535354,llm_inference,3350.0,24.0,2000.0,12
job_010,18172727273,image_inference,1050.0,52.0,750.0,12
job_011,20191919192,object_detection,1400.0,104.0,1200.0,12
job_012,22211111111,llm_inference,3250.0,36.0,2000.0,12
job_013,24230303030,image_inference,950.0,48.0,750.0,12
job_014,26249494949,object_detection,1550.0,100.0,1200.0,12
job_015,28268686869,llm_inference,3400.0,32.0,2000.0,12
job_016,30287878788,image_inference,850.0,60.0,750.0,12
job_017,32307070707,object_detection,1450.0,96.0,1200.0,12
job_018,34326262626,llm_inference,3300.0,28.0,2000.0,12
job_019,36345454545,image_inference,1000.0,56.0,750.0,12
job_020,38364646465,object_detection,1600.0,108.0,1200.0,12
job_021,40383838384,llm_inference,3200.0,24.0,2000.0,12
job_022,42403030303,image_inference,900.0,52.0,750.0,12
job_023,44422222222,object_detection,1500.0,104.0,1200.0,12
job_024,46441414141,llm_inference,3350.0,36.0,2000.0,12
job_025,48460606061,image_inference,1050.0,48.0,750.0,12
job_026,50479797980,object_detection,1400.0,100.0,1200.0,12
job_027,52498989899,llm_inference,3250.0,32.0,2000.0,12
job_028,54518181818,image_inference,950.0,60.0,750.0,12
job_029,56537373737,object_detection,1550.0,96.0,1200.0,12
job_030,58556565657,llm_inference,3400.0,28.0,2000.0,12
job_031,60575757576,image_inference,850.0,56.0,750.0,12
job_032,62594949495,object_detection,1450.0,108.0,1200.0,12
job_033,64614141414,llm_inference,3300.0,24.0,2000.0,12
job_034,66633333333,image_inference,1000.0,52.0,750.0,12
